,hist,bin_edges,histmax
0,292.0,6.0,9632.0
1,1547.0,21.97265625,
2,2224.0,37.9453125,
3,4108.0,53.91796875,
4,6089.0,69.890625,
5,5217.0,85.86328125,
6,2905.0,101.8359375,
7,2478.0,117.80859375,
8,2573.0,133.78125,
9,2525.0,149.75390625,
10,2668.0,165.7265625,
11,2625.0,181.69921875,
12,3304.0,197.671875,
13,3692.0,213.64453125,
14,4155.0,229.6171875,
15,4044.0,245.58984375,
16,3428.0,261.5625,
17,3285.0,277.53515625,
18,2544.0,293.5078125,
19,1771.0,309.48046875,
20,1221.0,325.453125,
21,976.0,341.42578125,
22,1473.0,357.3984375,
23,2526.0,373.37109375,
24,4069.0,389.34375,
25,4725.0,405.31640625,
26,4207.0,421.2890625,
27,3850.0,437.26171875,
28,3816.0,453.234375,
29,3634.0,469.20703125,
30,3636.0,485.1796875,
31,3425.0,501.15234375,
32,3612.0,517.125,
33,3986.0,533.09765625,
34,4328.0,549.0703125,
35,4431.0,565.04296875,
36,4207.0,581.015625,
37,3545.0,596.98828125,
38,3372.0,612.9609375,
39,2704.0,628.93359375,
40,2288.0,644.90625,
41,2018.0,660.87890625,
42,1777.0,676.8515625,
43,2284.0,692.82421875,
44,2593.0,708.796875,
45,2832.0,724.76953125,
46,3219.0,740.7421875,
47,3064.0,756.71484375,
48,4145.0,772.6875,
49,4865.0,788.66015625,
50,5792.0,804.6328125,
51,6747.0,820.60546875,
52,6726.0,836.578125,
53,8679.0,852.55078125,
54,9632.0,868.5234375,
55,9472.0,884.49609375,
56,9327.0,900.46875,
57,7642.0,916.44140625,
58,8740.0,932.4140625,
59,8325.0,948.38671875,
60,7981.0,964.359375,
61,7737.0,980.33203125,
62,6343.0,996.3046875,
63,7417.0,1012.27734375,
64,7198.0,1028.25,
65,7206.0,1044.22265625,
66,7315.0,1060.1953125,
67,6392.0,1076.16796875,
68,7965.0,1092.140625,
69,8803.0,1108.11328125,
70,9312.0,1124.0859375,
71,9371.0,1140.05859375,
72,8472.0,1156.03125,
73,9058.0,1172.00390625,
74,9582.0,1187.9765625,
75,9518.0,1203.94921875,
76,9107.0,1219.921875,
77,8139.0,1235.89453125,
78,7389.0,1251.8671875,
79,7574.0,1267.83984375,
80,7001.0,1283.8125,
81,6199.0,1299.78515625,
82,5555.0,1315.7578125,
83,5176.0,1331.73046875,
84,5507.0,1347.703125,
85,5420.0,1363.67578125,
86,5154.0,1379.6484375,
87,4902.0,1395.62109375,
88,4810.0,1411.59375,
89,5355.0,1427.56640625,
90,5160.0,1443.5390625,
91,5270.0,1459.51171875,
92,5169.0,1475.484375,
93,5053.0,1491.45703125,
94,5719.0,1507.4296875,
95,5498.0,1523.40234375,
96,5533.0,1539.375,
97,5192.0,1555.34765625,
98,5072.0,1571.3203125,
99,5683.0,1587.29296875,
100,6045.0,1603.265625,
101,5972.0,1619.23828125,
102,6300.0,1635.2109375,
103,6130.0,1651.18359375,
104,6729.0,1667.15625,
105,6630.0,1683.12890625,
106,6205.0,1699.1015625,
107,6014.0,1715.07421875,
108,5647.0,1731.046875,
109,5407.0,1747.01953125,
110,5769.0,1762.9921875,
111,5440.0,1778.96484375,
112,5196.0,1794.9375,
113,5661.0,1810.91015625,
114,5006.0,1826.8828125,
115,5490.0,1842.85546875,
116,5436.0,1858.828125,
117,5219.0,1874.80078125,
118,5395.0,1890.7734375,
119,5104.0,1906.74609375,
120,5464.0,1922.71875,
121,5448.0,1938.69140625,
122,5324.0,1954.6640625,
123,5527.0,1970.63671875,
124,5287.0,1986.609375,
125,5832.0,2002.58203125,
126,5803.0,2018.5546875,
127,5641.0,2034.52734375,
128,5870.0,2050.5,
129,5757.0,2066.47265625,
130,6283.0,2082.4453125,
131,6100.0,2098.41796875,
132,6325.0,2114.390625,
133,6748.0,2130.36328125,
134,6460.0,2146.3359375,
135,7021.0,2162.30859375,
136,6956.0,2178.28125,
137,7190.0,2194.25390625,
138,7543.0,2210.2265625,
139,7194.0,2226.19921875,
140,7860.0,2242.171875,
141,7445.0,2258.14453125,
142,8011.0,2274.1171875,
143,8111.0,2290.08984375,
144,7758.0,2306.0625,
145,8441.0,2322.03515625,
146,7460.0,2338.0078125,
147,8215.0,2353.98046875,
148,8262.0,2369.953125,
149,8253.0,2385.92578125,
150,7718.0,2401.8984375,
151,7658.0,2417.87109375,
152,7912.0,2433.84375,
153,7829.0,2449.81640625,
154,7699.0,2465.7890625,
155,6946.0,2481.76171875,
156,7157.0,2497.734375,
157,7262.0,2513.70703125,
158,7220.0,2529.6796875,
159,7286.0,2545.65234375,
160,6496.0,2561.625,
161,6536.0,2577.59765625,
162,6546.0,2593.5703125,
163,6713.0,2609.54296875,
164,6787.0,2625.515625,
165,6068.0,2641.48828125,
166,6214.0,2657.4609375,
167,6462.0,2673.43359375,
168,6261.0,2689.40625,
169,6252.0,2705.37890625,
170,5752.0,2721.3515625,
171,5629.0,2737.32421875,
172,5809.0,2753.296875,
173,5956.0,2769.26953125,
174,5955.0,2785.2421875,
175,5370.0,2801.21484375,
176,5448.0,2817.1875,
177,5628.0,2833.16015625,
178,5545.0,2849.1328125,
179,5566.0,2865.10546875,
180,5044.0,2881.078125,
181,5067.0,2897.05078125,
182,4661.0,2913.0234375,
183,5094.0,2928.99609375,
184,4992.0,2944.96875,
185,4809.0,2960.94140625,
186,4079.0,2976.9140625,
187,4231.0,2992.88671875,
188,4594.0,3008.859375,
189,4352.0,3024.83203125,
190,4227.0,3040.8046875,
191,3519.0,3056.77734375,
192,4027.0,3072.75,
193,4008.0,3088.72265625,
194,3902.0,3104.6953125,
195,3794.0,3120.66796875,
196,3255.0,3136.640625,
197,3583.0,3152.61328125,
198,3590.0,3168.5859375,
199,3551.0,3184.55859375,
200,3448.0,3200.53125,
201,2777.0,3216.50390625,
202,3114.0,3232.4765625,
203,3253.0,3248.44921875,
204,3264.0,3264.421875,
205,3182.0,3280.39453125,
206,2690.0,3296.3671875,
207,2898.0,3312.33984375,
208,3082.0,3328.3125,
209,2904.0,3344.28515625,
210,2938.0,3360.2578125,
211,2559.0,3376.23046875,
212,2663.0,3392.203125,
213,2879.0,3408.17578125,
214,2710.0,3424.1484375,
215,2812.0,3440.12109375,
216,2243.0,3456.09375,
217,2498.0,3472.06640625,
218,2666.0,3488.0390625,
219,2303.0,3504.01171875,
220,2505.0,3519.984375,
221,2388.0,3535.95703125,
222,2190.0,3551.9296875,
223,2387.0,3567.90234375,
224,2376.0,3583.875,
225,2319.0,3599.84765625,
226,2222.0,3615.8203125,
227,1945.0,3631.79296875,
228,2089.0,3647.765625,
229,2068.0,3663.73828125,
230,2052.0,3679.7109375,
231,1986.0,3695.68359375,
232,1848.0,3711.65625,
233,1969.0,3727.62890625,
234,1973.0,3743.6015625,
235,1921.0,3759.57421875,
236,1783.0,3775.546875,
237,1670.0,3791.51953125,
238,1911.0,3807.4921875,
239,1879.0,3823.46484375,
240,1804.0,3839.4375,
241,1692.0,3855.41015625,
242,1427.0,3871.3828125,
243,1741.0,3887.35546875,
244,1663.0,3903.328125,
245,1664.0,3919.30078125,
246,1493.0,3935.2734375,
247,1227.0,3951.24609375,
248,1392.0,3967.21875,
249,1247.0,3983.19140625,
250,1076.0,3999.1640625,
251,912.0,4015.13671875,
252,696.0,4031.109375,
253,712.0,4047.08203125,
254,541.0,4063.0546875,
255,1095.0,4079.02734375,
256,,4095.0,
