,hist,bin_edges,histmax
0,112.0,4.0,9931.0
1,1248.0,19.98046875,
2,2084.0,35.9609375,
3,3099.0,51.94140625,
4,5618.0,67.921875,
5,5888.0,83.90234375,
6,3844.0,99.8828125,
7,2533.0,115.86328125,
8,2271.0,131.84375,
9,2469.0,147.82421875,
10,2457.0,163.8046875,
11,2592.0,179.78515625,
12,2987.0,195.765625,
13,3182.0,211.74609375,
14,3773.0,227.7265625,
15,3988.0,243.70703125,
16,3852.0,259.6875,
17,3556.0,275.66796875,
18,2785.0,291.6484375,
19,2026.0,307.62890625,
20,1459.0,323.609375,
21,1040.0,339.58984375,
22,1148.0,355.5703125,
23,1714.0,371.55078125,
24,3173.0,387.53125,
25,4338.0,403.51171875,
26,4663.0,419.4921875,
27,4176.0,435.47265625,
28,3616.0,451.453125,
29,3793.0,467.43359375,
30,3500.0,483.4140625,
31,3618.0,499.39453125,
32,3563.0,515.375,
33,3655.0,531.35546875,
34,4181.0,547.3359375,
35,4311.0,563.31640625,
36,4586.0,579.296875,
37,4168.0,595.27734375,
38,3479.0,611.2578125,
39,3180.0,627.23828125,
40,2429.0,643.21875,
41,2078.0,659.19921875,
42,1815.0,675.1796875,
43,1853.0,691.16015625,
44,2219.0,707.140625,
45,2340.0,723.12109375,
46,2655.0,739.1015625,
47,2743.0,755.08203125,
48,3149.0,771.0625,
49,3816.0,787.04296875,
50,4544.0,803.0234375,
51,4779.0,819.00390625,
52,5872.0,834.984375,
53,7571.0,850.96484375,
54,7681.0,866.9453125,
55,9172.0,882.92578125,
56,9156.0,898.90625,
57,8727.0,914.88671875,
58,8958.0,930.8671875,
59,8228.0,946.84765625,
60,8325.0,962.828125,
61,8173.0,978.80859375,
62,7298.0,994.7890625,
63,7426.0,1010.76953125,
64,6811.0,1026.75,
65,7346.0,1042.73046875,
66,7018.0,1058.7109375,
67,6782.0,1074.69140625,
68,7463.0,1090.671875,
69,7392.0,1106.65234375,
70,8542.0,1122.6328125,
71,9077.0,1138.61328125,
72,8992.0,1154.59375,
73,9807.0,1170.57421875,
74,9242.0,1186.5546875,
75,9931.0,1202.53515625,
76,9592.0,1218.515625,
77,8776.0,1234.49609375,
78,8714.0,1250.4765625,
79,7825.0,1266.45703125,
80,7890.0,1282.4375,
81,6983.0,1298.41796875,
82,6302.0,1314.3984375,
83,6013.0,1330.37890625,
84,5514.0,1346.359375,
85,5681.0,1362.33984375,
86,5469.0,1378.3203125,
87,5050.0,1394.30078125,
88,5282.0,1410.28125,
89,5014.0,1426.26171875,
90,5338.0,1442.2421875,
91,5167.0,1458.22265625,
92,5127.0,1474.203125,
93,5536.0,1490.18359375,
94,5235.0,1506.1640625,
95,5693.0,1522.14453125,
96,5554.0,1538.125,
97,5383.0,1554.10546875,
98,5547.0,1570.0859375,
99,5202.0,1586.06640625,
100,5683.0,1602.046875,
101,5518.0,1618.02734375,
102,5403.0,1634.0078125,
103,6189.0,1649.98828125,
104,6437.0,1665.96875,
105,6090.0,1681.94921875,
106,6363.0,1697.9296875,
107,6069.0,1713.91015625,
108,6350.0,1729.890625,
109,6070.0,1745.87109375,
110,5464.0,1761.8515625,
111,5548.0,1777.83203125,
112,5227.0,1793.8125,
113,5525.0,1809.79296875,
114,5406.0,1825.7734375,
115,5044.0,1841.75390625,
116,5241.0,1857.734375,
117,5069.0,1873.71484375,
118,5218.0,1889.6953125,
119,5312.0,1905.67578125,
120,4991.0,1921.65625,
121,5286.0,1937.63671875,
122,4941.0,1953.6171875,
123,5423.0,1969.59765625,
124,5536.0,1985.578125,
125,5021.0,2001.55859375,
126,5335.0,2017.5390625,
127,5281.0,2033.51953125,
128,5520.0,2049.5,
129,5939.0,2065.48046875,
130,5205.0,2081.4609375,
131,5708.0,2097.44140625,
132,5689.0,2113.421875,
133,5990.0,2129.40234375,
134,6214.0,2145.3828125,
135,5845.0,2161.36328125,
136,6307.0,2177.34375,
137,6470.0,2193.32421875,
138,6597.0,2209.3046875,
139,7024.0,2225.28515625,
140,6558.0,2241.265625,
141,6746.0,2257.24609375,
142,7220.0,2273.2265625,
143,7464.0,2289.20703125,
144,7998.0,2305.1875,
145,7363.0,2321.16796875,
146,7667.0,2337.1484375,
147,8158.0,2353.12890625,
148,8089.0,2369.109375,
149,8188.0,2385.08984375,
150,7503.0,2401.0703125,
151,7672.0,2417.05078125,
152,7846.0,2433.03125,
153,7306.0,2449.01171875,
154,7974.0,2464.9921875,
155,7865.0,2480.97265625,
156,6671.0,2496.953125,
157,7575.0,2512.93359375,
158,7407.0,2528.9140625,
159,7354.0,2544.89453125,
160,7021.0,2560.875,
161,6083.0,2576.85546875,
162,6961.0,2592.8359375,
163,6745.0,2608.81640625,
164,6848.0,2624.796875,
165,6705.0,2640.77734375,
166,5796.0,2656.7578125,
167,6491.0,2672.73828125,
168,6381.0,2688.71875,
169,6471.0,2704.69921875,
170,6387.0,2720.6796875,
171,5436.0,2736.66015625,
172,6056.0,2752.640625,
173,5968.0,2768.62109375,
174,6031.0,2784.6015625,
175,5855.0,2800.58203125,
176,5187.0,2816.5625,
177,5698.0,2832.54296875,
178,5673.0,2848.5234375,
179,5626.0,2864.50390625,
180,5639.0,2880.484375,
181,4897.0,2896.46484375,
182,5321.0,2912.4453125,
183,5273.0,2928.42578125,
184,5191.0,2944.40625,
185,5106.0,2960.38671875,
186,4293.0,2976.3671875,
187,4732.0,2992.34765625,
188,4537.0,3008.328125,
189,4467.0,3024.30859375,
190,4467.0,3040.2890625,
191,3832.0,3056.26953125,
192,4136.0,3072.25,
193,4099.0,3088.23046875,
194,4091.0,3104.2109375,
195,4042.0,3120.19140625,
196,3413.0,3136.171875,
197,3762.0,3152.15234375,
198,3871.0,3168.1328125,
199,3738.0,3184.11328125,
200,3677.0,3200.09375,
201,3085.0,3216.07421875,
202,3340.0,3232.0546875,
